overall_reign,holder,won_date,event_name,location,champion_reign_number,reign_days,days_recognized,era,notes,title,start_date,champion_name,source_order,holder_slug,champion_name_slug
,Axl Rotten & Ian Rotten,,Card #664,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ASWA Tag Team Titles MEWF Tag Team Titles,,Axl Rotten & Ian Rotten,664.0,axl rotten ian rotten,axl rotten ian rotten
,T. J. Perkins,,Card #6886,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Cruiserweight Classic Championship WWE Cruiserweight Title,,T. J. Perkins,6886.0,t j perkins,t j perkins
,Akam & Rezar,,Card #2086,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Dusty Rhodes Tag Team Classic Cup,,Akam & Rezar,2086.0,akam rezar,akam rezar
,Finn Bálor & Samoa Joe,,Card #2331,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Dusty Rhodes Tag Team Classic Cup,,Finn Bálor & Samoa Joe,2331.0,finn balor samoa joe,finn balor samoa joe
,Sabu,,Card #318,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW FTW Title,,Sabu,318.0,sabu,sabu
,J. T. Smith,,Card #668,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Maryland Title,,J. T. Smith,668.0,j t smith,j t smith
,Tony Stetson,,Card #671,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Pennsylvania Title,,Tony Stetson,671.0,tony stetson,tony stetson
,Little Guido & Tony Mamaluke,,Card #40,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Little Guido & Tony Mamaluke,40.0,little guido tony mamaluke,little guido tony mamaluke
,Justin Credible & Lance Storm,,Card #105,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Justin Credible & Lance Storm,105.0,justin credible lance storm,justin credible lance storm
,Mike Awesome & Raven,,Card #129,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Mike Awesome & Raven,129.0,mike awesome raven,mike awesome raven
,Masato Tanaka & Tommy Dreamer,,Card #138,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Masato Tanaka & Tommy Dreamer,138.0,masato tanaka tommy dreamer,masato tanaka tommy dreamer
,Justin Credible & Lance Storm,,Card #158,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Justin Credible & Lance Storm,158.0,justin credible lance storm,justin credible lance storm
,Buh Buh Ray Dudley & D-Von Dudley,,Card #227,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,227.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Raven & Tommy Dreamer,,Card #227,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Raven & Tommy Dreamer,227.0,raven tommy dreamer,raven tommy dreamer
,Balls Mahoney & Spike Dudley,,Card #232,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Balls Mahoney & Spike Dudley,232.0,balls mahoney spike dudley,balls mahoney spike dudley
,Buh Buh Ray Dudley & D-Von Dudley,,Card #233,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,233.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Balls Mahoney & Spike Dudley,,Card #243,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Balls Mahoney & Spike Dudley,243.0,balls mahoney spike dudley,balls mahoney spike dudley
