canonical_name,name_slug,id,name,real_name,promotion,height,weight,date_born,nationality,debut,retired,image_url,image_large,team,description,source,title,extract,url,birth_date,real_name_slug,link,height_cm,weight_kg,debut_year,biography
André André,andre andre,34191720.0,André André,,_Retired Soccer,1.74 m (5 ft 9 in),520 lb (236 kg),1989-08-26,Portugal,25 January 1966,,https://r2.thesportsdb.com/images/media/player/thumb/5yzh2j1771665641.jpg,,_Retired Soccer,,thesportsdb,André André,André Filipe Brás André is a Portuguese former professional footballer who played as a midfielder.,https://en.wikipedia.org/wiki/Andr%C3%A9_Andr%C3%A9,1989-08-26,,https://en.wikipedia.org/wiki/Randy_Savage,,,,André Filipe Brás André is a Portuguese former professional footballer who played as a midfielder.
Bob Backlund,bob backlund,34168492.0,Bob Backlund,,_Retired WWE,6 ft 1 in (185 cm),234 lb (106 kg),1949-08-14,United States,1973,,https://r2.thesportsdb.com/images/media/player/thumb/ijth931575122530.jpg,,_Retired WWE,,thesportsdb,Bob Backlund,"Robert Louis Backlund is an American retired amateur and professional wrestler. He is best known for his appearances in the World Wide Wrestling Federation/World Wrestling Federation from 1976 to 1984 and in the 1990s, where he held the WWWF/WWF Championship on two occasions. His 2,135-day reign is recognized as the second longest in the championship's history. Backlund was inducted into the WWE Hall of Fame in 2013.",https://en.wikipedia.org/wiki/Bob_Backlund,1949-08-14,,https://en.wikipedia.org/wiki/K%C3%A9vin_Th%C3%A9ophile-Catherine,,,,"Robert Louis Backlund is an American retired amateur and professional wrestler. He is best known for his appearances in the World Wide Wrestling Federation/World Wrestling Federation from 1976 to 1984 and in the 1990s, where he held the WWWF/WWF Championship on two occasions. His 2,135-day reign is recognized as the second longest in the championship's history. Backlund was inducted into the WWE Hall of Fame in 2013."
Brock Lesnar,brock lesnar,34160715.0,Brock Lesnar,,UFC Heavyweight,6 ft 3 in (191 cm),265 lb (120 kg; 18 st 13 lb),1977-07-12,United States,"October 11, 2000",,https://r2.thesportsdb.com/images/media/player/thumb/ubdyn91574961656.jpg,,UFC Heavyweight,,thesportsdb,Brock Lesnar,"Brock Edward Lesnar is an American professional wrestler, former mixed martial artist, amateur wrestler and professional American football player. He is signed to WWE, where he performs on a part-time basis. Lesnar had two previous tenures with the company from 2000 to 2004 and 2012 to 2020. Lesnar is the only person to have won the primary heavyweight championships of World Wrestling Entertainment (WWE), Ultimate Fighting Championship (UFC), New Japan Pro-Wrestling (NJPW), the Inoki Genome Federation (IGF), and the National Collegiate Athletic Association (NCAA).",https://en.wikipedia.org/wiki/Brock_Lesnar,1977-07-12,,https://en.wikipedia.org/wiki/Randy_Orton,,,,"Brock Edward Lesnar is an American professional wrestler, former mixed martial artist, amateur wrestler and professional American football player. He is signed to WWE, where he performs on a part-time basis. Lesnar had two previous tenures with the company from 2000 to 2004 and 2012 to 2020. Lesnar is the only person to have won the primary heavyweight championships of World Wrestling Entertainment (WWE), Ultimate Fighting Championship (UFC), New Japan Pro-Wrestling (NJPW), the Inoki Genome Federation (IGF), and the National Collegiate Athletic Association (NCAA)."
Bruno Sammartino,bruno sammartino,34168621.0,Bruno Sammartino,,_Deceased Figthing,5 ft 10 in (178 cm),265 lb (120 kg),1935-10-06,Italy,"October 23, 1959",,https://r2.thesportsdb.com/images/media/player/thumb/lsuhkc1575314967.jpg,,_Deceased Figthing,,thesportsdb,Bruno Sammartino,Bruno Leopoldo Francesco Sammartino was an Italian-American professional wrestler. He is best known for his time with the World Wide Wrestling Federation. Sammartino's first reign as WWF World Heavyweight Champion is the longest recognized men's world title reign in wrestling history.,https://en.wikipedia.org/wiki/Bruno_Sammartino,1935-10-06,,https://en.wikipedia.org/wiki/Bruno_Sammartino,,,,Bruno Leopoldo Francesco Sammartino was an Italian-American professional wrestler. He is best known for his time with the World Wide Wrestling Federation. Sammartino's first reign as WWF World Heavyweight Champion is the longest recognized men's world title reign in wrestling history.
Buddy Rogers,buddy rogers,34168628.0,Buddy Rogers,,_Deceased Figthing,,,1921-02-20,United States,,,https://r2.thesportsdb.com/images/media/player/thumb/e83pl01575320507.jpg,,_Deceased Figthing,,thesportsdb,Buddy Rogers,"Buddy Rogers may refer to:Charles ""Buddy"" Rogers (1904–1999), American actor and jazz musician
Buddy Rogers (wrestler) (1921–1992), ring name of American professional wrestler Herman Rohde",https://en.wikipedia.org/wiki/Buddy_Rogers,1921-02-20,,https://en.wikipedia.org/wiki/Buddy_Rogers,,,,"Buddy Rogers may refer to:Charles ""Buddy"" Rogers (1904–1999), American actor and jazz musician
Buddy Rogers (wrestler) (1921–1992), ring name of American professional wrestler Herman Rohde"
Cody Rhodes,cody rhodes,34160757.0,Cody Rhodes,,Smackdown Mens,6 ft 2 in (188 cm),222 lb (101 kg),1985-06-30,United States,"June 16, 2006",,https://r2.thesportsdb.com/images/media/player/thumb/qbe86q1713875358.jpg,,Smackdown Mens,,thesportsdb,Cody Rhodes,"Cody Garrett Runnels Rhodes is an American professional wrestler. As of April 2022, he is signed to WWE, where he performs on the SmackDown brand and is the current Undisputed WWE Champion in his third reign. Rhodes co-founded All Elite Wrestling (AEW), where he served as an executive vice president and wrestler from 2019 to 2022.",https://en.wikipedia.org/wiki/Cody_Rhodes,1985-06-30,,https://en.wikipedia.org/wiki/%22Superstar%22_Billy_Graham,,,,"Cody Garrett Runnels Rhodes is an American professional wrestler. As of April 2022, he is signed to WWE, where he performs on the SmackDown brand and is the current Undisputed WWE Champion in his third reign. Rhodes co-founded All Elite Wrestling (AEW), where he served as an executive vice president and wrestler from 2019 to 2022."
Hulk Hogan,hulk hogan,34160696.0,Hulk Hogan,,_Deceased Fighting,6 ft 7 in (201 cm),302 lb (137 kg),1953-08-11,United States,"August 9, 1977",,https://r2.thesportsdb.com/images/media/player/thumb/8svz2b1753384948.jpg,,_Deceased Fighting,,thesportsdb,Hulk Hogan,"Terry Gene Bollea, better known by his ring name Hulk Hogan, was an American professional wrestler and media personality. Widely regarded as one of the greatest and most recognized wrestlers of all time, Hogan won multiple championships worldwide, most notably being a six-time WWF/WWE Champion. He is best known for his work in the World Wrestling Federation and World Championship Wrestling (WCW). Hogan also competed in promotions such as Total Nonstop Action Wrestling (TNA), the American Wrestling Association (AWA), and New Japan Pro-Wrestling (NJPW).",https://en.wikipedia.org/wiki/Hulk_Hogan,1953-08-11,,https://en.wikipedia.org/wiki/Andr%C3%A9_Andr%C3%A9,,,,"Terry Gene Bollea, better known by his ring name Hulk Hogan, was an American professional wrestler and media personality. Widely regarded as one of the greatest and most recognized wrestlers of all time, Hogan won multiple championships worldwide, most notably being a six-time WWF/WWE Champion. He is best known for his work in the World Wrestling Federation and World Championship Wrestling (WCW). Hogan also competed in promotions such as Total Nonstop Action Wrestling (TNA), the American Wrestling Association (AWA), and New Japan Pro-Wrestling (NJPW)."
Ivan Koloff,ivan koloff,34168626.0,Ivan Koloff,,_Deceased Figthing,5 ft 9 in (175 cm),298 lb (135 kg),1942-08-25,Canada,"February 15, 1963",,https://r2.thesportsdb.com/images/media/player/thumb/4b0j6n1575320097.jpg,,_Deceased Figthing,,thesportsdb,Ivan Koloff,"Oreal Donald Perras was a Canadian professional wrestler, better known by the ring name ""The Russian Bear"" Ivan Koloff, under which name he was billed as being from Russia and, following the dissolution of the Soviet Union, Ukraine. He was the third wrestler to hold the WWWF Championship. In April 2025, Koloff was inducted into the WWE Hall of Fame.",https://en.wikipedia.org/wiki/Ivan_Koloff,1942-08-25,,https://en.wikipedia.org/wiki/Ivan_Koloff,,,,"Oreal Donald Perras was a Canadian professional wrestler, better known by the ring name ""The Russian Bear"" Ivan Koloff, under which name he was billed as being from Russia and, following the dissolution of the Soviet Union, Ukraine. He was the third wrestler to hold the WWWF Championship. In April 2025, Koloff was inducted into the WWE Hall of Fame."
John Cena,john cena,34160739.0,John Cena,,_Retired Wrestling,6 ft 1 in (185 cm),251 lb (114 kg),1977-04-23,United States,"November 5, 1999",,https://r2.thesportsdb.com/images/media/player/thumb/rtxqup1472466638.jpg,,_Retired Wrestling,,thesportsdb,John Cena,"John Felix Anthony Cena is an American actor, retired professional wrestler, and former rapper. He is signed to WWE as a brand ambassador. Cena wrestled for WWE for 24 years, becoming a record-setting 17-time world champion, before transitioning fully into his acting career.",https://en.wikipedia.org/wiki/John_Cena,1977-04-23,,https://en.wikipedia.org/wiki/Triple_H,,,,"John Felix Anthony Cena is an American actor, retired professional wrestler, and former rapper. He is signed to WWE as a brand ambassador. Cena wrestled for WWE for 24 years, becoming a record-setting 17-time world champion, before transitioning fully into his acting career."
Kevin Theophile-Catherine,kevin theophile catherine,34145348.0,Kevin Theophile-Catherine,,Dinamo Zagreb,1.83 m (6 ft 0 in),,1989-10-28,France,,,https://r2.thesportsdb.com/images/media/player/thumb/yssgcx1551630624.jpg,,Dinamo Zagreb,,thesportsdb,Kévin Théophile-Catherine,Kévin Théophile-Catherine is a French professional footballer who plays as a centre-back for SuperSport HNL club Dinamo Zagreb.,https://en.wikipedia.org/wiki/K%C3%A9vin_Th%C3%A9ophile-Catherine,1989-10-28,,https://en.wikipedia.org/wiki/Hulk_Hogan,,,,Kévin Théophile-Catherine is a French professional footballer who plays as a centre-back for SuperSport HNL club Dinamo Zagreb.
