id,name,real_name,birth_date,date_born,height,weight,height_cm,weight_kg,nationality,description,extract,debut,debut_year,retired,image_url,image_large,promotion,team,source,link,url
53,Rob Van Dam,,,,,,,,,,,,,,,,,,,,
5965,Bret Hart,,,,,,,,,,,,,,,,,,,,
7540,Chris Jericho,,,,,,,,,,,,,,,,,,,,
8338,Steve Austin,,,,,,,,,,,,,,,,,,,,
8522,Eddie Guerrero,,,,,,,,,,,,,,,,,,,,
9391,Jimmy Snuka,,,,,,,,,,,,,,,,,,,,
9821,Jake Roberts,,,,,,,,,,,,,,,,,,,,
10034,Ivan Koloff,,,,,,,,,,,,,,,,,,,,
12383,Randy Orton,,,,,,,,,,,,,,,,,,,,
14218,Becky Lynch,,,,,,,,,,,,,,,,,,,,
14883,Seth Rollins,,,,,,,,,,,,,,,,,,,,
18380,Charlotte Flair,,,,,,,,,,,,,,,,,,,,
31932,Kevin Owens,,,,,,,,,,,,,,,,,,,,
36095,Roman Reigns,,,,,,,,,,,,,,,,,,,,
36359,CM Punk,,,,,,,,,,,,,,,,,,,,
36467,Kane,,,,,,,,,,,,,,,,,,,,
36468,Cody Rhodes,,,,,,,,,,,,,,,,,,,,
36563,Booker T.,,,,,,,,,,,,,,,,,,,,
36576,Ric Flair,,,,,,,,,,,,,,,,,,,,
36774,Kevin Nash,,,,,,,,,,,,,,,,,,,,
38203,Hulk Hogan,,,,,,,,,,,,,,,,,,,,
39818,Randy Savage,,,,,,,,,,,,,,,,,,,,
40121,Roddy Piper,,,,,,,,,,,,,,,,,,,,
51814,Ricky Steamboat,,,,,,,,,,,,,,,,,,,,
54385,Rey Mysterio,,,,,,,,,,,,,,,,,,,,
54504,John Cena,,,,,,,,,,,,,,,,,,,,
54919,Brock Lesnar,,,,,,,,,,,,,,,,,,,,
55452,Trish Stratus,,,,,,,,,,,,,,,,,,,,
60627,Edge,,,,,,,,,,,,,,,,,,,,
65554,Lita,,,,,,,,,,,,,,,,,,,,
66385,Jeff Hardy,,,,,,,,,,,,,,,,,,,,
68100,Daniel Bryan,,,,,,,,,,,,,,,,,,,,
68720,Triple H,,,,,,,,,,,,,,,,,,,,
70247,The Undertaker,,,,,,,,,,,,,,,,,,,,
72099,Ted DiBiase,,,,,,,,,,,,,,,,,,,,
72866,Batista,,,,,,,,,,,,,,,,,,,,
72868,Kurt Angle,,,,,,,,,,,,,,,,,,,,
84271,The Rock,,,,,,,,,,,,,,,,,,,,
112266,Shawn Michaels,,,,,,,,,,,,,,,,,,,,
118301,Mick Foley,,,,,,,,,,,,,,,,,,,,
133860,Mr. Perfect,,,,,,,,,,,,,,,,,,,,
133867,Bruno Sammartino,,,,,,,,,,,,,,,,,,,,
133877,Bob Backlund,,,,,,,,,,,,,,,,,,,,
133937,Billy Graham,,,,,,,,,,,,,,,,,,,,
133945,Andre the Giant,,,,,,,,,,,,,,,,,,,,
133967,Stan Stasiak,,,,,,,,,,,,,,,,,,,,
134769,Pedro Morales,,,,,,,,,,,,,,,,,,,,
136621,Buddy Rogers,,,,,,,,,,,,,,,,,,,,
141609,Chyna,,,,,,,,,,,,,,,,,,,,
142139,The Iron Sheik,,,,,,,,,,,,,,,,,,,,
148774,Owen Hart,,,,,,,,,,,,,,,,,,,,
151197,"""Kane""",,,,,,,,,,,,,,,,,,,,
153877,Diesel,,,,,,,,,,,,,,,,,,,,
154680,Yokozuna,,,,,,,,,,,,,,,,,,,,
155094,Razor Ramon,,,,,,,,,,,,,,,,,,,,
162748,Sgt. Slaughter,,,,,,,,,,,,,,,,,,,,
