overall_reign,champion,date_won,event,location,champion_reign_number,days_held,days_recognized,era,notes
1,Buddy Rogers,1963-04-01,Heavyweight Wrestling,"Washington, D.C.",1,46,21,WWWF,"WWE reconoce el inicio del reinado desde 1963-04-25."
2,Bruno Sammartino,1963-05-17,House show,"New York, NY",1,2803,2803,WWWF,"Primer gran reinado historico de referencia."
3,Ivan Koloff,1971-01-18,House show,"New York, NY",1,21,21,WWWF,"Transicion previa al reinado de Pedro Morales."
4,Pedro Morales,1971-02-08,House show,"New York, NY",1,1027,1027,WWWF,"Durante este reinado el titulo paso a llamarse WWWF Heavyweight Championship."
5,Stan Stasiak,1973-12-01,House show,"Philadelphia, PA",1,9,9,WWWF,"Cambio corto previo al segundo reinado de Bruno Sammartino."
6,Bruno Sammartino,1973-12-10,House show,"New York, NY",2,1237,1237,WWWF,"Segundo reinado reconocido."
7,"""Superstar"" Billy Graham",1977-04-30,House show,"Baltimore, MD",1,296,296,WWWF,"Reinado previo al ascenso de Bob Backlund."
8,Bob Backlund,1978-02-20,WWF on MSG Network,"New York, NY",1,648,2135,WWWF/WWF,"La promocion fue renombrada a WWF en marzo de 1979 durante este periodo."
9,The Iron Sheik,1983-12-26,WWF on MSG Network,"New York, NY",1,28,28,WWF,"Victoria por sumision tras intervencion del manager de Bob Backlund."
10,Hulk Hogan,1984-01-23,WWF on MSG Network,"New York, NY",1,1474,1474,WWF,"Inicio de uno de los reinados mas emblematicos del titulo."
11,Andre the Giant,1988-02-05,The Main Event I,"Indianapolis, IN",1,0,0,WWF,"Reinado menor a un dia."
12,Randy Savage,1988-03-27,WrestleMania IV,"Atlantic City, NJ",1,371,371,WWF,"Gano el titulo vacante en la final del torneo."
